SELLER_GEOLOCATION_KEY,SELLER_ZIP_CODE_PREFIX,CITY,STATE,LATITUDE,LONGITUDE
5004,13322,Salto,São Paulo,-23.19290374910452,-47.27530969607761
5006,13324,Salto,São Paulo,-23.20947127891648,-47.309228892238536
5008,13327,Salto,São Paulo,-23.179531489945607,-47.31338383666045
5009,13328,Salto,São Paulo,-23.175066042459644,-47.33865064197116
5011,13330,Indaiatuba,São Paulo,-23.0863391564841,-47.21688683643498
5020,13339,Indaiatuba,São Paulo,-23.092115290171787,-47.20086129070291
5028,13347,Indaiatuba,São Paulo,-23.134112877805087,-47.227975141375694
5033,13360,Capivari,São Paulo,-22.99748379485896,-47.50572510550506
5035,13375,Mombuca,São Paulo,-20.56936647541443,-46.02311914850127
5036,13380,Nova Odessa,São Paulo,-22.78577888954105,-47.312537141740734
5038,13382,Nova Odessa,São Paulo,-22.80042281821469,-47.30746366559665
5044,13390,Rio Das Pedras,São Paulo,-22.842321876787764,-47.60705361138728
5048,13403,Piracicaba,São Paulo,-22.72382652621296,-47.672897830228365
5049,13405,Piracicaba,São Paulo,-22.708702100662567,-47.664700852471455
5051,13408,Piracicaba,São Paulo,-22.67206791185116,-47.69572533972834
5056,13414,Piracicaba,São Paulo,-22.69151895446721,-47.64095276810298
5058,13416,Piracicaba,São Paulo,-22.71690158165374,-47.64018826320613
5060,13418,Piracicaba,São Paulo,-22.725079692431567,-47.630333420285545
5061,13419,Piracicaba,São Paulo,-22.729029230512737,-47.6411480898057
5062,13420,Piracicaba,São Paulo,-22.73595274251212,-47.61839862005819
5066,13424,Piracicaba,São Paulo,-22.749481886689026,-47.64546148891776
5074,13450,Santa Barbara D'Oeste,São Paulo,-22.757882920125365,-47.41705497247527
5078,13454,Santa Barbara D'Oeste,São Paulo,-22.74060229553914,-47.37582085471676
5080,13456,Santa Barbara D'Oeste,São Paulo,-22.75709691277636,-47.37609423222235
5081,13457,Santa Barbara D'Oeste,São Paulo,-22.767878146745,-47.38550081126994
5085,13465,Americana,São Paulo,-22.74373907712192,-47.33699738819053
5091,13471,Americana,São Paulo,-22.726194334553124,-47.33725462578772
5093,13473,Americana,São Paulo,-22.72062533010144,-47.30723687984722
5094,13474,Americana,São Paulo,-22.705059493303757,-47.2942847510832
5098,13478,Americana,São Paulo,-22.7436469198625,-47.31203571315088
5100,13480,Limeira,São Paulo,-22.57072148150253,-47.40309520372462
